,Top_1_name,Predictions
Alternative_rock,united kingdom,United Kingdom
Aluminium,australia,Australia
Aluminium_chloride,afghanistan,Afghanistan
Alzheimer%27s_disease,germany,Germany
Al_Jazeera,qatar,Qatar
Amaranth_oil,mexico,Mexico
Amarillo%2C_Texas,united states,United States
Amazon_Basin,brazil,Brazil
Amazon_parrot,brazil,Brazil
Amazon_Rainforest,brazil,Brazil
Amazon_River,brazil,Brazil
Amber,poland,Poland
Amda_Seyon_I,ethiopia,Ethiopia
American_Civil_War,united states,United States
American_English,united states,United States
American_football,united states,United States
American_popular_music,united states,United States
American_Revolutionary_War,france,France
American_Samoa,american samoa,American Samoa
Americium,afghanistan,Afghanistan
Amish,united states,United States
Ammolite,canada,Canada
Ammonia,china,China
Ammonite,afghanistan,Afghanistan
Ammosaurus,united states,United States
Amsterdam,netherlands,Netherlands
Amtrak,united states,United States.
Amur,china,China
Anaconda,brazil,Brazil
Analytical_Marxism,afghanistan,Afghanistan
Anarchism,,
Anarcho-capitalism,afghanistan,Afghanistan
Anatomy,,
Ancient_Egypt,egypt,Egypt
Ancient_Greece,greece,Greece
Ancient_history,china,China
Ancient_Rome,italy,Italy
Andes,argentina,Argentina
Andorra,andorra,Andorra
Andr%C3%A9s_Nocioni,argentina,Argentina
Andrew_Carnegie,,Scotland
Andrew_Dickson_White,united states,United States
Andrew_Gonzalez,philippines,Philippines
Andrew_Jackson,united states,United States
Andrew_Johnson,united states,United States
Andrew_Robinson,united states,United States
Andriyivskyy_Descent,ukraine,Ukraine
Andromeda_Galaxy,,
Andy_Warhol,united states,United States
Anemia,afghanistan,Afghanistan
Angelica,finland,Finland
Angel_shark,australia,Australia
Angkor,cambodia,Cambodia
Angkor_Wat,cambodia,Cambodia
Anglicanism,australia,Australia
Anglican_Church_of_Australia,australia,Australia
Anglican_Communion,australia,Australia
Anglo-Saxon_literature,united kingdom,United Kingdom
Angola,angola,Angola
Anguilla,anguilla,Anguilla
Animal,afghanistan,Afghanistan
Animal_law,united states,United States
Animal_rights,china,China
Animation,afghanistan,Afghanistan
Ankylosaurus,canada,Canada
Anna_Karenina,russia,Russia
Anne_Frank,netherlands,Netherlands
Anne_of_Great_Britain,united kingdom,United Kingdom
Annibale_Bugnini,italy,Italy
Anno_Domini,afghanistan,Afghanistan
Ann_Arbor%2C_Michigan,united states,United States
Anschluss,austria,Austria
Ant,,
Antananarivo,madagascar,Madagascar
Antarctica,,
Antarctic_krill,antarctica,Antarctica
Antarctic_Treaty_System,,
Antarctosaurus,argentina,Argentina
Anteater,brazil,Brazil
Antelope,south africa,South Africa
Anthony_van_Dyck,belgium,Belgium
Anthropology,malawi,Malawi
Antigua_and_Barbuda,,<Antigua and Barbuda>
Antimony,china,China
Antlion,afghanistan,Afghanistan
Antoine_Lavoisier,france,France
Anton%C3%ADn_Dvo%C5%99%C3%A1k,,Czech Republic
Antonio_Vivaldi,italy,Italy
Anton_Alexander_von_Werner,germany,Germany
Antwerp,belgium,Belgium
Apaochi,china,China
Apatosaurus,afghanistan,Afghanistan
Ape,indonesia,Indonesia
Aphid,australia,Australia
Apollo,greece,Greece
Apollo_11,united states,United States
Apollo_8,united states,United States
Apostolic_Succession,afghanistan,Afghanistan
Apple,kazakhstan,Kazakhstan
Applied_mathematics,,
Apricot,china,China
Aquarium,united states,United States
Arab-Israeli_conflict,afghanistan,Afghanistan
Arabic_language,saudi arabia,Saudi Arabia
Arable_land,afghanistan,Afghanistan
Arab_League,egypt,Egypt
Aradia%2C_or_the_Gospel_of_the_Witches,italy,Italy
Aral_Sea,kazakhstan,Kazakhstan
Arcadia_%28play%29,united kingdom,United Kingdom
Archaeoastronomy,united kingdom,United Kingdom
Archaeology,united kingdom,United Kingdom
Archaeopteryx,germany,Germany
Archbishop_of_Canterbury,united kingdom,United Kingdom
Archimedes,,Sicily
Architecture,afghanistan,Afghanistan
Architecture_of_the_California_missions,united states,<United States>
Architecture_of_Windows_NT,afghanistan,Afghanistan
Arctic,finland,Finland
Arctic_Circle,norway,Norway
Arctic_Monkeys,,England
Arctic_Ocean,russia,Russia
Arctic_Tern,finland,Finland
Arecaceae,australia,Australia
Argan,morocco,Morocco
Argentina,argentina,Argentina
Argon,afghanistan,Afghanistan
Argyle_diamond_mine,australia,Australia
Ariel_Sharon,israel,Israel
Aristarchus_%28crater%29,,
Aristotle,greece,Greece
Arithmetic,china,China
Armadillo,afghanistan,Afghanistan
Armand_Jean_du_Plessis%2C_Cardinal_Richelieu,france,France
Armenia,armenia,Armenia.
Armia_Krajowa,poland,Poland
Arnold_Schwarzenegger,austria,Austria
Arp2_3_complex,afghanistan,Afghanistan
Arsenal_F.C.,united kingdom,<United Kingdom>
Arsenic,china,China
Ars_moriendi,netherlands,Netherlands
Art,united states,United States
Arthropod,afghanistan,Afghanistan
Arthur_Ernest_Percival,united kingdom,United Kingdom
Arthur_Sullivan,united kingdom,United Kingdom
Arthur_Upfield,australia,Australia
Arthur_Wellesley%2C_1st_Duke_of_Wellington,united kingdom,United Kingdom
Arts_and_crafts,,
Aruba,aruba,Aruba
Arugula,italy,Italy
Ascariasis,morocco,Morocco
ASCII,,
Asia,afghanistan,Afghanistan
Asparagus,united states,United States
Asperger_syndrome,austria,Austria
Asp_%28reptile%29,egypt,Egypt
Assyria,afghanistan,Afghanistan
Astatine,afghanistan,Afghanistan
Asteroid,,
Asthma,,
Astrology,afghanistan,Afghanistan
Astronomy,,
Astrophysics_Data_System,united states,United States
Asunci%C3%B3n,paraguay,Paraguay
AT%26T,united states,United States
Ateneo_de_Manila_University,philippines,Philippines
Athanasius_Kircher,germany,Germany
Atheism,france,France
Athena,greece,Greece
Athens,greece,Greece
Athletics_%28track_and_field%29,australia,Australia
Atlanta%2C_Georgia,united states,United States
Atlantic_Coast_Line_Railroad,united states,United States
Atlantic_herring,canada,Canada
Atlantic_Ocean,south africa,South Africa
Atlantic_slave_trade,ghana,Ghana
Atlantis,,
ATLAS_experiment,switzerland,Switzerland
Atom,,
Atonality,afghanistan,Afghanistan
Attack_on_Pearl_Harbor,united states,United States.
Attalus_I,turkey,Turkey
Attention-deficit_hyperactivity_disorder,united states,United States
Attila_the_Hun,hungary,Hungary
Auckland,new zealand,New Zealand
Augusta%2C_Lady_Gregory,ireland,Ireland
Augustan_literature,united kingdom,United Kingdom.
Auguste_Rodin,france,France
Augustine_of_Hippo,algeria,Algeria
Augustus,oman,Romania
Australia,australia,Australia
Australian_constitutional_law,australia,Australia
Australian_English,australia,Australia
Australian_Green_Tree_Frog,australia,Australia
Australian_Open,australia,Australia
Australian_Ringneck,australia,Australia
Australian_rules_football,australia,Australia
Austria,austria,Austria
Autism,united states,United States
Autobianchi_Primula,italy,Italy
Autocracy,,
Automated_teller_machine,canada,Canada
Automatic_number_plate_recognition,united kingdom,United Kingdom
Automobile,germany,Germany
Autorack,united states,United States
Autostereogram,australia,Australia
Auto_racing,france,France
Autumn,united states,United States
Avacha_Volcano,russia,Russia
Avalanche,france,France
Avatar__The_Last_Airbender,united states,United States
Avocado,mexico,Mexico
Avon_Gorge,united kingdom,United Kingdom
Avro_Lancaster,canada,Canada
Axe,australia,Australia
Ayaan_Hirsi_Ali,netherlands,Netherlands
Aye-aye,madagascar,Madagascar
Aymer_de_Valence%2C_2nd_Earl_of_Pembroke,afghanistan,Afghanistan
Azerbaijan,azerbaijan,Azerbaijan
Azerbaijani_people,azerbaijan,Azerbaijan
Aztec,mexico,Mexico
A_cappella,india,India
A_Christmas_Carol,united kingdom,United Kingdom
A_Tale_of_a_Tub,ireland,Ireland
A_Wrinkle_in_Time,united states,United States
Babe_Ruth,united states,United States
Baboon,south africa,South Africa
Babur,uzbekistan,Uzbekistan
Babylonia,afghanistan,Afghanistan
Baby_Gender_Mentor,united states,United States
Backgammon,afghanistan,Afghanistan
Bacteria,afghanistan,Afghanistan
Baden-Powell_House,united kingdom,United Kingdom
Badger,united kingdom,United Kingdom
Badminton,denmark,Denmark
Badugi,united states,United States
BAE_Systems,united kingdom,United Kingdom
Baghdad,iraq,Iraq
Bah%C3%A1%27%C3%AD_Faith,iran,Iran
Bahamas,bahamas,Bahamas
Bahrain,bahrain,Bahrain
Baker_Island,united states,United States
Bald_Eagle,united states,United States
Baltic_Sea,poland,Poland
Baltimore%2C_Maryland,united states,United States.
Bamako,mali,Mali
Banana,india,India
Bandicoot,australia,Australia
Bangalore,india,India
Bangkok,thailand,Thailand
Bangladesh,bangladesh,Bangladesh
Banjul,gambia,Gambia
Banknote,china,China
Banksy,united kingdom,United Kingdom
Bank_of_China_%28Hong_Kong%29,,Hong Kong
Bantu,south africa,South Africa
Barack_Obama,united states,United States
Barbados,barbados,<Barbados>
Barbara_McClintock,united states,United States
Barbary_Lion,morocco,Morocco
Barbary_Macaque,morocco,Morocco
Barcelona,spain,Spain
Barium,china,China
Barley,afghanistan,Afghanistan
Barnacle,australia,Australia
Barn_Owl,australia,Australia
Baroque,italy,Italy
Barracuda,australia,Australia
Baruch_Spinoza,netherlands,Netherlands
Baseball,united states,United States
Basel,switzerland,Switzerland
BASIC,united states,United States
Basil,italy,Italy
Basilica_of_Santa_Maria_degli_Angeli,italy,Italy
Basilica_of_San_Francesco_d%27Assisi,italy,Italy
Basil_Brush,united kingdom,United Kingdom
Basketball,united states,United States
Basking_shark,afghanistan,Afghanistan
Basset_Hound,france,France
Bassoon,france,France
Bass_%28fish%29,australia,Australia
Bat-eared_Fox,south africa,South Africa
Bat,oman,Romania
Bath%2C_Somerset,united kingdom,United Kingdom
Batholith,,
Bath_School_disaster,united states,United States
Batman,united states,United States
Battles_of_the_Mexican-American_War,mexico,Mexico
Battle_of_Alesia,france,France
Battle_of_Amiens,france,France
Battle_of_Austerlitz,,Czech Republic.
Battle_of_Badr,saudi arabia,Saudi Arabia
Battle_of_Bicocca,italy,Italy
Battle_of_Britain,united kingdom,United Kingdom
Battle_of_Cannae,italy,Italy
Battle_of_France,france,France
Battle_of_Gettysburg,united states,United States
Battle_of_Grunwald,poland,Poland
Battle_of_Hastings,united kingdom,United Kingdom
Battle_of_Jutland,denmark,Denmark
Battle_of_Lechaeum,greece,Greece
Battle_of_Leyte_Gulf,philippines,Philippines
Battle_of_Marathon,greece,Greece
Battle_of_Midway,japan,Japan
Battle_of_Moscow,,USSR
Battle_of_Normandy,france,France
Battle_of_Rennell_Island,solomon islands,Solomon Islands
Battle_of_Sitka,afghanistan,Afghanistan
Battle_of_Smolensk_%281943%29,russia,Russia
Battle_of_Stalingrad,russia,Russia
Battle_of_the_Bulge,belgium,Belgium
Battle_of_the_Eastern_Solomons,solomon islands,Solomon Islands
Battle_of_the_Little_Bighorn,,Montana
Battle_of_the_Santa_Cruz_Islands,solomon islands,Solomon Islands
Battle_of_the_Somme_%281916%29,france,France
Battle_of_Tours,france,France
Battle_of_Vaslui,oman,Romania
Battle_of_Warsaw_%281920%29,poland,Poland
Bay_Area_Rapid_Transit,united states,United States
Bay_of_Bengal,india,India
BBC,united kingdom,United Kingdom
BBC_television_drama,united kingdom,United Kingdom.
Beach,australia,Australia
Bean,united kingdom,United Kingdom
Bear,finland,Finland
Beatles_for_Sale,united kingdom,United Kingdom
Beaver,canada,Canada
Bedbug,,
Bede,united kingdom,United Kingdom
Bee,united kingdom,United Kingdom
Beeching_Axe,united kingdom,United Kingdom
Beekeeping,australia,Australia
Beep_%28SWBLW%29,united states,United States
Beer,afghanistan,Afghanistan
Beet,germany,Germany
Beetle,afghanistan,Afghanistan
Behavioral_finance,china,China
Behistun_Inscription,iran,Iran
Beijing,china,China
Beirut,lebanon,Lebanon
Belarus,belarus,Belarus
Belfast,ireland,Ireland
Belgium,belgium,Belgium
Belize,belize,Belize
Belton_House,,England
Ben-Hur_%281959_film%29,united states,United States
Bench_language,ethiopia,Ethiopia
Benin,benin,Benin
Benito_Mussolini,italy,Italy
Benjamin_Britten,united kingdom,United Kingdom
Benjamin_Disraeli%2C_1st_Earl_of_Beaconsfield,united kingdom,United Kingdom
Benjamin_Franklin,united states,United States.
Benjamin_Harrison,united states,United States
Benjamin_Mountfort,new zealand,New Zealand
Benjamin_of_Tudela,spain,Spain
Benzene,china,China
Ben_Jonson,,England
Ben_Nevis,,Scotland
Berber_languages,morocco,Morocco
Beriberi,sri lanka,Sri Lanka
Berkelium,,
Berlin,germany,Germany
Berlin_Wall,germany,Germany
Bermuda,bermuda,Bermuda
Bernard_Hinault,france,France
Bertrand_Russell,united kingdom,United Kingdom
Beryllium,china,China
Betelgeuse_incident,ireland,Ireland
Bette_Davis,united states,United States
Bhutan,bhutan,Bhutan
Bible,israel,Israel
Bicycle,italy,Italy
Bicycle_Thieves,italy,Italy
Big_Bang,,
Billie_Holiday,united states,United States
Bill_Clinton,united states,United States
Bill_Gates,united states,United States
Binary_star,,
Binoculars,china,China
Binomial_nomenclature,afghanistan,Afghanistan
Biodiesel,australia,Australia
Biodiversity,,
Biofuel,united states,United States
Bioinformatics,afghanistan,Afghanistan
Biology,australia,Australia
Bionicle__Mask_of_Light,united states,United States
Biosphere,afghanistan,Afghanistan
Biotechnology,afghanistan,Afghanistan
Bird,afghanistan,Afghanistan
Bird_migration,australia,Australia
Bird_of_prey,afghanistan,Afghanistan
Birmingham,united kingdom,<United Kingdom>
Birth_control,india,India
Bismuth,china,China
Bison,afghanistan,Afghanistan
Bissau,guinea,Guinea-Bissau
Bj%C3%B6rn_Borg,sweden,Sweden
Bj%C3%B8rn%C3%B8ya,norway,Norway
Black-backed_Jackal,south africa,South Africa
Black-footed_Cat,south africa,South Africa
Black-winged_Stilt,australia,Australia
Blackbird,united states,United States
Blackcap,afghanistan,Afghanistan
Blackjack,australia,Australia
Blackpool,united kingdom,United Kingdom
Blacktip_reef_shark,australia,Australia
Black_Death,china,China
Black_hole,,
Black_panther,afghanistan,Afghanistan
Black_pepper,india,India
Black_Rhinoceros,south africa,South Africa
Black_Robin,new zealand,New Zealand
Black_Sea,turkey,Turkey.
Black_Seminoles,united states,United States
Black_widow_spider,australia,Australia
Black_Wildebeest,south africa,South Africa
Blade_Runner,united states,United States
Blaise_Pascal,france,France
Blitzkrieg,germany,Germany
Blokus,afghanistan,Afghanistan
Blood_type,afghanistan,Afghanistan
Bluegrass_music,,Czech Republic
Bluetooth,sweden,Sweden
Blue_Jay,canada,Canada
Blue_Peter,united kingdom,United Kingdom
Blue_shark,australia,Australia
Blue_Tit,united kingdom,United Kingdom
Blue_Whale,iceland,Iceland
Blue_Wildebeest,south africa,South Africa
Boa,afghanistan,Afghanistan
Board_game,afghanistan,Afghanistan
Boat,china,China
Bobcat,united states,United States
Bob_Dylan,united states,United States
Bob_Marley,jamaica,Jamaica
Bodyline,australia,Australia
Body_mass_index,,
Boeing_747,singapore,Singapore
Bog,germany,Germany
Bogot%C3%A1,colombia,Colombia
Bohemian_Rhapsody,australia,Australia
Bohor_Reedbuck,south africa,South Africa
Bohrium,afghanistan,Afghanistan
Bolivia,bolivia,Bolivia
Bologna,italy,Italy
Boltysh_crater,ukraine,Ukraine
Bongo_%28antelope%29,kenya,Kenya
Bonobo,,Democratic Republic of the Congo
Bontebok,south africa,South Africa
Booby,australia,Australia
Book,france,France
Book_of_Common_Prayer,united kingdom,United Kingdom
Book_of_Kells,ireland,Ireland
Boolean_logic,ireland,Ireland
Borage,iran,Iran
Boris_Becker,germany,Germany
Boron,,
Bosnia_and_Herzegovina,afghanistan,Afghanistan
Boston%2C_Massachusetts,united states,United States.
Boston_and_Lowell_Railroad,united states,United States
Boston_RFC,united states,United States
Boston_Terrier,united states,United States
Botany,afghanistan,Afghanistan
Botswana,botswana,Botswana
Bottlenose_Dolphin,united states,United States
Boudica,united kingdom,United Kingdom
Boundary_Waters_Canoe_Area_Wilderness,united states,United States
Bourbonnais_train_accident,united states,United States
Bouvet_Island,,
Box_jellyfish,australia,Australia
Boyle_Roche,ireland,Ireland
Boy_Scout,united states,United States
BP,united kingdom,United Kingdom
Brabantian,belgium,Belgium
Brabham,united kingdom,United Kingdom
Brachiosaurus,afghanistan,Afghanistan
Brahman,india,India
Brain,,
Bran,afghanistan,Afghanistan
Brandon_Routh,united states,United States
Bras%C3%ADlia,brazil,Brazil
Brass_instrument,afghanistan,Afghanistan
Bratislava,slovakia,Slovakia
Brazil,brazil,Brazil
Bread,germany,Germany
Breaker_Morant,australia,Australia
Bretton_Woods_system,united states,United States
Brian_Close,,England
Bridge,afghanistan,Afghanistan
Brighton,united kingdom,United Kingdom
Brisbane,australia,Australia
Bristol,united kingdom,United Kingdom
British_East_India_Company,united kingdom,United Kingdom
British_Empire,australia,Australia
British_English,united kingdom,United Kingdom
British_House_of_Commons,united kingdom,United Kingdom
British_Indian_Ocean_Territory,british indian ocean territory,British Indian Ocean Territory
British_Isles,ireland,Ireland
British_Isles_%28terminology%29,ireland,Ireland
British_monarchy,united kingdom,United Kingdom
British_Virgin_Islands,british virgin islands,British Virgin Islands
Britney_Spears,united states,United States
Broadcasting,afghanistan,Afghanistan
Bromine,china,China
Bronze_Age,afghanistan,Afghanistan
Brothers_Grimm,germany,Germany
Brown_trout,afghanistan,Afghanistan
Bruce_Lee,china,China
Bruce_Springsteen,united states,United States
Brunei,brunei,Brunei
Brush,cameroon,Cameroon
Brussels,belgium,Belgium.
Brute_force_attack,afghanistan,Afghanistan
Bryce_Canyon_National_Park,united states,United States
Btrieve,united states,United States
BT_Tower,united kingdom,United Kingdom
Bucharest,oman,Romania
Buckingham_Palace,united kingdom,United Kingdom
Buckminster_Fuller,united states,United States
Budapest,hungary,Hungary
Buddha,afghanistan,Afghanistan
Buddhism,nepal,Nepal
Buddhist_art,afghanistan,Afghanistan
Buenos_Aires,argentina,Argentina
Buffy_the_Vampire_Slayer,united states,United States
Bulgaria,bulgaria,Bulgaria
Bull_shark,australia,Australia
Burkina_Faso,burkina faso,Burkina Faso
Burundi,burundi,Burundi
Bushbuck,south africa,South Africa
Bushpig,south africa,South Africa
Business,india,India
Butter,france,France
Button,china,China
Byzantine_Empire,greece,Greece
B_vitamins,afghanistan,Afghanistan
C%2B%2B,australia,Australia
C%C3%A6dmon,afghanistan,Afghanistan
C%C3%B4te_d%27Ivoire,,Côte d'Ivoire
C._S._Lewis,ireland,Ireland
Cactus,mexico,Mexico
Cadmium,china,China
Caesar_cipher,afghanistan,Afghanistan
Caesium,afghanistan,Afghanistan
Caesium_fluoride,afghanistan,Afghanistan
Cairo,egypt,Egypt
Cai_Lun,china,China
Calcite,united states,United States
Calcium,australia,Australia
Calcium_chloride,afghanistan,Afghanistan
Calculus,india,India
Calgary,canada,Canada
California,united states,United States
California_Southern_Railroad,united states,United States
Californium,afghanistan,Afghanistan
Calligraphy,india,India
Caloris_Basin,,
Calvin_and_Hobbes,united states,United States
Calvin_Coolidge,united states,United States
Camarasaurus,afghanistan,Afghanistan
Cambodia,cambodia,Cambodia
Cambrian,china,China
Cambrian_explosion,china,China
Cambridge,,England
Camel,afghanistan,Afghanistan
Cameroon,cameroon,Cameroon
Canada,canada,Canada
Canada_Goose,canada,Canada
Canadian_Charter_of_Rights_and_Freedoms,canada,Canada
Canadian_English,canada,Canada
Canadian_football,canada,Canada
Canadian_House_of_Commons,canada,Canada
Canadian_Pacific_Railway,canada,Canada
Canadian_Senate,canada,Canada
Canal,united states,United States
Canaletto,italy,Italy
Canberra,australia,Australia
Cancer,,
Cane_Toad,australia,Australia
Canola,canada,Canada
Canterbury,united kingdom,United Kingdom
Canterbury_Cathedral,united kingdom,United Kingdom
Canute_the_Great,denmark,Denmark.
Capacitance,afghanistan,Afghanistan
Cape_Canaveral,united states,United States
Cape_Horn,chile,Chile
Cape_Lion,south africa,South Africa
Cape_Porcupine,south africa,South Africa
Cape_Town,south africa,South Africa
Cape_Verde,cape verde,Cape Verde
Capital,australia,Australia
Capitalism,united kingdom,United Kingdom
Capitoline_Triad,italy,Italy
Captain_Marvel_%28DC_Comics%29,united states,United States
Caracas,venezuela,Venezuela
Caratacus,afghanistan,Afghanistan
Caravaggio,italy,Italy
Carbon,australia,Australia
Carboniferous,afghanistan,Afghanistan
Carbon_dioxide,australia,Australia
Carcinus_maenas,afghanistan,Afghanistan
Cardiff,,Wales
Card_game,united kingdom,United Kingdom
Caribbean_Sea,bermuda,Bermuda
Carlsbad_Caverns_National_Park,united states,United States
Carl_Friedrich_Gauss,germany,Germany
Carl_G._Fisher,united states,United States
Carl_Jung,switzerland,Switzerland
Carl_Lewis,united states,United States
Carl_Sagan,united states,United States
Carnivore,india,India
Caroline_Island,kiribati,Kiribati
Carolingian_Gospel_Book_%28British_Library%2C_MS_Add._11848%29,france,France
Carolus_Linnaeus,sweden,Sweden
Carrot,afghanistan,Afghanistan
Casablanca_%28film%29,morocco,Morocco
Casimir_effect,afghanistan,Afghanistan
Caspian_Sea,kazakhstan,Kazakhstan
Cassini-Huygens,united states,United States
Cassowary,australia,Australia
Castra,oman,Romania
Cat%27s_Eye_Nebula,afghanistan,Afghanistan
