,Top_1_name,Predictions
Angkor,cambodia,Cambodia
Angkor_Wat,cambodia,Cambodia
Anglicanism,,England
Anglican_Church_of_Australia,australia,Australia
Anglican_Communion,,England
Anglo-Saxon_literature,,Britain
Angola,angola,Angola
Anguilla,anguilla,Anguilla
Animal,,None
Animal_law,,None
Animal_rights,united states,United States
Animation,,None
Ankylosaurus,canada,Canada
Anna_Karenina,russia,Russia
Anne_Frank,netherlands,Netherlands
Anne_of_Great_Britain,,Great Britain.
Annibale_Bugnini,italy,Italy
Anno_Domini,romania,Romania
Ann_Arbor%2C_Michigan,united states,United States
Anschluss,austria,Austria.
Ant,antarctica,Antarctica
Antananarivo,madagascar,Madagascar.
Antarctica,antarctica,Antarctica
Antarctic_krill,antarctica,Antarctica
Antarctic_Treaty_System,antarctica,Antarctica
Antarctosaurus,argentina,Argentina
Anteater,brazil,Brazil
Antelope,,Africa
Anthony_van_Dyck,,England.
Anthropology,malawi,Malawi
Antigua_and_Barbuda,,Antigua and Barbuda.
Antimony,,None
Antlion,,None
Antoine_Lavoisier,france,France
Anton%C3%ADn_Dvo%C5%99%C3%A1k,,Czech Republic
Antonio_Vivaldi,italy,Italy
Anton_Alexander_von_Werner,germany,Germany
Antwerp,belgium,Belgium.
Apaochi,china,China
Apatosaurus,,USA.
Ape,,Asia
Aphid,,None
Apollo,greece,Greece
Apollo_11,united states,United States
Apollo_8,united states,United States
Apostolic_Succession,,None
Apple,kazakhstan,Kazakhstan
Applied_mathematics,,None
Apricot,china,China
Aquarium,united states,United States
Arab-Israeli_conflict,israel,Israel
Arabic_language,saudi arabia,Saudi Arabia
Arable_land,,England.
Arab_League,egypt,Egypt
Aradia%2C_or_the_Gospel_of_the_Witches,italy,Italy
Aral_Sea,kazakhstan,Kazakhstan
Arcadia_%28play%29,,England
Archaeoastronomy,united kingdom,United Kingdom
Archaeology,united kingdom,United Kingdom
Archaeopteryx,germany,Germany
Archbishop_of_Canterbury,,England
Archimedes,,Sicily
Architecture,greece,Greece
Architecture_of_the_California_missions,united states,United States
Architecture_of_Windows_NT,united states,United States
Arctic,,None
Arctic_Circle,russia,Russia
Arctic_Monkeys,,England
Arctic_Ocean,russia,Russia
Arctic_Tern,,None
Arecaceae,colombia,Colombia
Argan,morocco,Morocco
Argentina,argentina,Argentina.
Argon,,None
Argyle_diamond_mine,australia,Australia
Ariel_Sharon,israel,Israel
Aristarchus_%28crater%29,,Moon
Aristotle,greece,Greece
Arithmetic,,None
Armadillo,united states,United States
Armand_Jean_du_Plessis%2C_Cardinal_Richelieu,france,France
Armenia,armenia,Armenia.
Armia_Krajowa,poland,Poland.
Arnold_Schwarzenegger,austria,Austria.
Arp2_3_complex,,None
Arsenal_F.C.,,England
Arsenic,,None
Ars_moriendi,netherlands,Netherlands
Art,,USA.
Arthropod,,None
Arthur_Ernest_Percival,united kingdom,United Kingdom
Arthur_Sullivan,,England
Arthur_Upfield,australia,Australia
Arthur_Wellesley%2C_1st_Duke_of_Wellington,united kingdom,United Kingdom
Arts_and_crafts,,None
Aruba,aruba,Aruba.
Arugula,italy,Italy
Ascariasis,nigeria,Nigeria
ASCII,,None
Asia,,Central Asia
Asparagus,peru,Peru
Asperger_syndrome,austria,Austria
Asp_%28reptile%29,egypt,Egypt
Assyria,iraq,Iraq
Astatine,,None
Asteroid,,None
Asthma,,None
Astrology,,None
Astronomy,,None
Astrophysics_Data_System,united states,United States.
Asunci%C3%B3n,paraguay,Paraguay
AT%26T,,USA.
Ateneo_de_Manila_University,philippines,Philippines
Athanasius_Kircher,germany,Germany
Atheism,france,France
Athena,greece,Greece
Athens,greece,Greece
Athletics_%28track_and_field%29,greece,Greece
Atlanta%2C_Georgia,united states,United States.
Atlantic_Coast_Line_Railroad,united states,United States.
Atlantic_herring,canada,Canada
Atlantic_Ocean,united states,United States
Atlantic_slave_trade,nigeria,Nigeria
Atlantis,greece,Greece
ATLAS_experiment,switzerland,Switzerland
Atom,,None
Atonality,,None
Attack_on_Pearl_Harbor,united states,United States.
Attalus_I,turkey,Turkey
Attention-deficit_hyperactivity_disorder,united states,United States
Attila_the_Hun,hungary,Hungary
Auckland,new zealand,New Zealand
Augusta%2C_Lady_Gregory,ireland,Ireland
Augustan_literature,,England
Auguste_Rodin,france,France
Augustine_of_Hippo,algeria,Algeria
Augustus,,Rome
Australia,australia,Australia
Australian_constitutional_law,australia,Australia
Australian_English,australia,Australia
Australian_Green_Tree_Frog,australia,Australia
Australian_Open,australia,Australia
Australian_Ringneck,australia,Australia
Australian_rules_football,australia,Australia
Austria,austria,Austria.
Autism,,None
Autobianchi_Primula,italy,Italy
Autocracy,,None
Automated_teller_machine,canada,Canada
Automatic_number_plate_recognition,united kingdom,United Kingdom
Automobile,germany,Germany
Autorack,united states,United States.
Autostereogram,,None
Auto_racing,france,France
Autumn,united states,United States.
Avacha_Volcano,russia,Russia
Avalanche,france,France
Avatar__The_Last_Airbender,united states,United States
Avocado,mexico,Mexico
Avon_Gorge,,England
Avro_Lancaster,united kingdom,United Kingdom
Axe,australia,Australia
Ayaan_Hirsi_Ali,netherlands,Netherlands
Aye-aye,madagascar,Madagascar
Aymer_de_Valence%2C_2nd_Earl_of_Pembroke,,England
Azerbaijan,azerbaijan,Azerbaijan.
Azerbaijani_people,azerbaijan,Azerbaijan.
Aztec,mexico,Mexico
A_cappella,united states,United States
A_Christmas_Carol,united kingdom,United Kingdom
A_Tale_of_a_Tub,ireland,Ireland
A_Wrinkle_in_Time,united states,United States
Babe_Ruth,united states,United States.
Baboon,tanzania,Tanzania
Babur,uzbekistan,Uzbekistan
Babylonia,iraq,Iraq
Baby_Gender_Mentor,united states,United States
Backgammon,,None
Bacteria,,None
Baden-Powell_House,united kingdom,United Kingdom
Badger,united kingdom,United Kingdom
Badminton,denmark,Denmark
Badugi,united states,United States
BAE_Systems,,UK
Baghdad,iraq,Iraq
Bah%C3%A1%27%C3%AD_Faith,iran,Iran
Bahamas,bahamas,Bahamas
Bahrain,bahrain,Bahrain
Baker_Island,united states,United States.
Bald_Eagle,united states,United States
Baltic_Sea,denmark,Denmark.
Baltimore%2C_Maryland,united states,United States
Bamako,mali,Mali
Banana,india,India
Bandicoot,australia,Australia
Bangalore,india,India
Bangkok,thailand,Thailand
Bangladesh,bangladesh,Bangladesh
Banjul,gambia,The Gambia.
Banknote,,None
Banksy,,England
Bank_of_China_%28Hong_Kong%29,,Hong Kong
Bantu,,Africa
Barack_Obama,united states,United States
Barbados,barbados,Barbados.
Barbara_McClintock,united states,United States
Barbary_Lion,morocco,Morocco
Barbary_Macaque,morocco,Morocco
Barcelona,spain,Spain
Barium,,None
Barley,russia,Russia
Barnacle,,None
Barn_Owl,,None
Baroque,italy,Italy
Barracuda,mexico,Mexico
Baruch_Spinoza,netherlands,Netherlands
Baseball,united states,United States
Basel,switzerland,Switzerland.
BASIC,united states,United States
Basil,italy,Italy
Basilica_of_Santa_Maria_degli_Angeli,italy,Italy
Basilica_of_San_Francesco_d%27Assisi,italy,Italy
Basil_Brush,united kingdom,United Kingdom
Basketball,,USA.
Basking_shark,,None
Basset_Hound,france,France
Bassoon,france,France
Bass_%28fish%29,,None
Bat-eared_Fox,south africa,South Africa
Bat,romania,Romania
Bath%2C_Somerset,,England
Batholith,united states,United States
Bath_School_disaster,,USA.
Batman,,USA
Battles_of_the_Mexican-American_War,mexico,Mexico
Battle_of_Alesia,france,France
Battle_of_Amiens,france,France
Battle_of_Austerlitz,,Czech Republic
Battle_of_Badr,saudi arabia,Saudi Arabia
Battle_of_Bicocca,italy,Italy
Battle_of_Britain,united kingdom,United Kingdom
Battle_of_Cannae,italy,Italy
Battle_of_France,france,France
Battle_of_Gettysburg,united states,United States.
Battle_of_Grunwald,poland,Poland
Battle_of_Hastings,,England
Battle_of_Jutland,denmark,Denmark
Battle_of_Lechaeum,greece,Greece
Battle_of_Leyte_Gulf,philippines,Philippines
Battle_of_Marathon,greece,Greece
Battle_of_Midway,united states,United States
Battle_of_Moscow,russia,Russia
Battle_of_Normandy,france,France
Battle_of_Rennell_Island,solomon islands,Solomon Islands.
Battle_of_Sitka,,Alaska
Battle_of_Smolensk_%281943%29,,USSR
Battle_of_Stalingrad,,USSR
Battle_of_the_Bulge,belgium,Belgium
Battle_of_the_Eastern_Solomons,solomon islands,Solomon Islands
Battle_of_the_Little_Bighorn,,Montana
Battle_of_the_Santa_Cruz_Islands,solomon islands,Solomon Islands
Battle_of_the_Somme_%281916%29,france,France
Battle_of_Tours,france,France
Battle_of_Vaslui,romania,Romania
Battle_of_Warsaw_%281920%29,poland,Poland
Bay_Area_Rapid_Transit,united states,United States
Bay_of_Bengal,india,India
BBC,united kingdom,United Kingdom
BBC_television_drama,united kingdom,United Kingdom
Beach,australia,Australia
Bean,united kingdom,United Kingdom
Bear,finland,Finland
Beatles_for_Sale,united kingdom,United Kingdom
Beaver,canada,Canada
Bedbug,,None
Bede,,England
Bee,united kingdom,United Kingdom
Beeching_Axe,united kingdom,United Kingdom
Beekeeping,united states,United States.
Beep_%28SWBLW%29,united states,United States
Beer,,None
Beet,germany,Germany
Beetle,,None
Behavioral_finance,,None
Behistun_Inscription,iran,Iran
Beijing,china,China
Beirut,lebanon,Lebanon.
Belarus,belarus,Belarus.
Belfast,ireland,Ireland.
Belgium,belgium,Belgium.
Belize,belize,Belize.
Belton_House,,England
Ben-Hur_%281959_film%29,united states,United States
Bench_language,ethiopia,Ethiopia
Benin,benin,Benin.
Benito_Mussolini,italy,Italy
Benjamin_Britten,,England
Benjamin_Disraeli%2C_1st_Earl_of_Beaconsfield,united kingdom,United Kingdom
Benjamin_Franklin,united states,United States
Benjamin_Harrison,,USA.
Benjamin_Mountfort,new zealand,New Zealand.
Benjamin_of_Tudela,spain,Spain
Benzene,,None
Ben_Jonson,,England
Ben_Nevis,,Scotland
Berber_languages,morocco,Morocco
Beriberi,japan,Japan
Berkelium,united states,United States
Berlin,germany,Germany
Berlin_Wall,germany,Germany
Bermuda,bermuda,Bermuda.
Bernard_Hinault,france,France
Bertrand_Russell,,Wales
Beryllium,,None
Betelgeuse_incident,ireland,Ireland
Bette_Davis,,USA
Bhutan,bhutan,Bhutan
Bible,israel,Israel
Bicycle,italy,Italy
Bicycle_Thieves,italy,Italy
Big_Bang,,None
Billie_Holiday,united states,United States.
Bill_Clinton,united states,United States
Bill_Gates,united states,United States
Binary_star,,None
Binoculars,,None
Binomial_nomenclature,sweden,Sweden
Biodiesel,,None
Biodiversity,,None
Biofuel,united states,United States.
Bioinformatics,,None
Biology,,None
Bionicle__Mask_of_Light,new zealand,New Zealand
Biosphere,,None
Biotechnology,,None
Bird,united states,United States
Bird_migration,australia,Australia
Bird_of_prey,united states,United States
Birmingham,,England
Birth_control,,None
Bismuth,france,France
Bison,,None
Bissau,guinea-bissau,Guinea-Bissau
Bj%C3%B6rn_Borg,sweden,Sweden
Bj%C3%B8rn%C3%B8ya,norway,Norway
Black-backed_Jackal,,African
Black-footed_Cat,south africa,South Africa
Black-winged_Stilt,australia,Australia
Blackbird,united states,United States
Blackcap,,None
Blackjack,united states,United States
Blackpool,,England
Blacktip_reef_shark,australia,Australia
Black_Death,,Europe
Black_hole,,None
Black_panther,china,China.
Black_pepper,india,India
Black_Rhinoceros,south africa,South Africa
Black_Robin,new zealand,New Zealand
Black_Sea,turkey,Turkey.
Black_Seminoles,united states,United States.
Black_widow_spider,united states,United States
Black_Wildebeest,south africa,South Africa
Blade_Runner,united states,United States
Blaise_Pascal,france,France
Blitzkrieg,germany,Germany
Blokus,france,France
Blood_type,,None
Bluegrass_music,united states,United States
Bluetooth,sweden,Sweden.
Blue_Jay,canada,Canada
Blue_Peter,united kingdom,United Kingdom
Blue_shark,,None
Blue_Tit,,None
Blue_Whale,,None
Blue_Wildebeest,south africa,South Africa
Boa,,None
Board_game,,None
Boat,,Hong Kong
Bobcat,united states,United States
Bob_Dylan,united states,United States
Bob_Marley,jamaica,Jamaica
Bodyline,australia,Australia
Body_mass_index,,None
Boeing_747,japan,Japan
Bog,germany,Germany.
Bogot%C3%A1,colombia,Colombia
Bohemian_Rhapsody,,UK
Bohor_Reedbuck,,None
Bohrium,russia,Russia
Bolivia,bolivia,Bolivia
Bologna,italy,Italy
Boltysh_crater,ukraine,Ukraine
Bongo_%28antelope%29,kenya,Kenya
Bonobo,,Democratic Republic of the Congo
Bontebok,south africa,South Africa
Booby,,None
Book,,England
Book_of_Common_Prayer,,England
Book_of_Kells,ireland,Ireland
Boolean_logic,,England
Borage,syria,Syria
Boris_Becker,germany,Germany
Boron,turkey,Turkey.
Bosnia_and_Herzegovina,,Bosnia and Herzegovina
Boston%2C_Massachusetts,united states,United States
Boston_and_Lowell_Railroad,,Massachusetts
Boston_RFC,,USA.
Boston_Terrier,united states,United States
Botany,,None
Botswana,botswana,Botswana.
Bottlenose_Dolphin,,USA
Boudica,united kingdom,United Kingdom
Boundary_Waters_Canoe_Area_Wilderness,,USA.
Bourbonnais_train_accident,united states,United States.
Bouvet_Island,norway,Norway
Box_jellyfish,australia,Australia
Boyle_Roche,ireland,Ireland
Boy_Scout,united states,United States
BP,united kingdom,United Kingdom
Brabantian,netherlands,Netherlands
Brabham,united kingdom,United Kingdom
Brachiosaurus,united states,United States
Brahman,india,India
Brain,,None
Bran,japan,Japan
Brandon_Routh,united states,United States
Bras%C3%ADlia,brazil,Brazil
Brass_instrument,,None
Bratislava,slovakia,Slovakia
Brazil,brazil,Brazil.
Bread,germany,Germany
Breaker_Morant,australia,Australia
Bretton_Woods_system,united states,United States
Brian_Close,,England
Bridge,,England.
Brighton,,England
Brisbane,australia,Australia
Bristol,,England
British_East_India_Company,united kingdom,United Kingdom
British_Empire,united kingdom,United Kingdom
British_English,united kingdom,United Kingdom
British_House_of_Commons,united kingdom,United Kingdom
British_Indian_Ocean_Territory,united kingdom,United Kingdom
British_Isles,ireland,Ireland
British_Isles_%28terminology%29,ireland,Ireland
British_monarchy,united kingdom,United Kingdom
British_Virgin_Islands,british virgin islands,British Virgin Islands.
Britney_Spears,united states,United States
Broadcasting,united states,United States.
Bromine,,None
Bronze_Age,china,China.
Brothers_Grimm,germany,Germany
Brown_trout,,None
Bruce_Lee,china,China
Bruce_Springsteen,united states,United States
Brunei,brunei,Brunei
Brush,cameroon,Cameroon
Brussels,belgium,Belgium
Brute_force_attack,united states,United States
Bryce_Canyon_National_Park,,USA.
Btrieve,united states,United States
BT_Tower,,England
Bucharest,romania,Romania
Buckingham_Palace,united kingdom,United Kingdom
Buckminster_Fuller,united states,United States
Budapest,hungary,Hungary
Buddha,nepal,Nepal
Buddhism,nepal,Nepal
Buddhist_art,afghanistan,Afghanistan
Buenos_Aires,argentina,Argentina
Buffy_the_Vampire_Slayer,united states,United States
Bulgaria,bulgaria,Bulgaria
Bull_shark,australia,Australia
Burkina_Faso,burkina faso,Burkina Faso
Burundi,burundi,Burundi
Bushbuck,,None
Bushpig,south africa,South Africa
Business,united states,United States.
Butter,india,India
Button,,None
Byzantine_Empire,greece,Greece
B_vitamins,,None
C%2B%2B,,None
C%C3%A6dmon,,England
C%C3%B4te_d%27Ivoire,,Côte d'Ivoire.
C._S._Lewis,ireland,Ireland
Cactus,mexico,Mexico
Cadmium,germany,Germany
Caesar_cipher,italy,Italy
Caesium,,None
Caesium_fluoride,,None
Cairo,egypt,Egypt
Cai_Lun,china,China
Calcite,united states,United States
Calcium,,None
Calcium_chloride,,None
Calculus,,Europe
Calgary,canada,Canada
California,united states,United States.
California_Southern_Railroad,united states,United States.
Californium,united states,United States
Calligraphy,china,China
Caloris_Basin,,Mercury.
Calvin_and_Hobbes,united states,United States
Calvin_Coolidge,,USA
Camarasaurus,,USA.
Cambodia,cambodia,Cambodia
Cambrian,,None
Cambrian_explosion,china,China
Cambridge,,England
Camel,,None
Cameroon,cameroon,Cameroon
Canada,canada,Canada
Canada_Goose,canada,Canada
Canadian_Charter_of_Rights_and_Freedoms,canada,Canada
Canadian_English,canada,Canada
Canadian_football,canada,Canada
Canadian_House_of_Commons,canada,Canada
Canadian_Pacific_Railway,canada,Canada
Canadian_Senate,canada,Canada
Canal,united states,United States.
Canaletto,italy,Italy
Canberra,australia,Australia
Cancer,,None
Cane_Toad,,South America
Canola,canada,Canada
Canterbury,,England
Canterbury_Cathedral,,England
Canute_the_Great,denmark,Denmark.
Capacitance,,None
Cape_Canaveral,united states,United States
Cape_Horn,chile,Chile
Cape_Lion,south africa,South Africa
Cape_Porcupine,south africa,South Africa
Cape_Town,south africa,South Africa
Cape_Verde,cape verde,Cape Verde.
Capital,australia,Australia
Capitalism,,None
Capitoline_Triad,,Rome.
Captain_Marvel_%28DC_Comics%29,,USA
Caracas,venezuela,Venezuela
Caratacus,,Britain.
Caravaggio,italy,Italy
Carbon,,None
Carboniferous,united kingdom,United Kingdom
Carbon_dioxide,,None
Carcinus_maenas,united kingdom,United Kingdom
Cardiff,,Wales
Card_game,,None
Caribbean_Sea,venezuela,Venezuela
Carlsbad_Caverns_National_Park,,USA.
Carl_Friedrich_Gauss,germany,Germany.
Carl_G._Fisher,united states,United States.
Carl_Jung,switzerland,Switzerland
Carl_Lewis,united states,United States
Carl_Sagan,united states,United States
Carnivore,,None
Caroline_Island,kiribati,Kiribati
Carolingian_Gospel_Book_%28British_Library%2C_MS_Add._11848%29,france,France
Carolus_Linnaeus,sweden,Sweden.
Carrot,afghanistan,Afghanistan
Casablanca_%28film%29,morocco,Morocco
Casimir_effect,netherlands,Netherlands
Caspian_Sea,azerbaijan,Azerbaijan.
Cassini-Huygens,,Saturn
Cassowary,australia,Australia
Castra,romania,Romania
Cat%27s_Eye_Nebula,,Draco.
Cat,,Draco.
Cataract,india,India
Cataract_surgery,india,India
Cathedral_of_Magdeburg,germany,Germany
Catherine_Cranston,,Scotland.
Catherine_II_of_Russia,russia,Russia
Catholic_social_teaching,united states,United States
Cattle,india,India
Cat_Stevens,,England
Cave,,USA.
Cayman_Islands,cayman islands,Cayman Islands.
Celeriac,,None
Celery,,None
Celine_Dion,canada,Canada
Cello,italy,Italy
Cell_%28biology%29,,None
Celtic_F.C.,,Scotland
Celtic_mythology,ireland,Ireland.
Celtic_Park,,Scotland
Central_African_Republic,central african republic,Central African Republic
Central_processing_unit,,None
Ceratopsidae,canada,Canada
Cereal,,None
Cerebellum,,None
Ceres_%28dwarf_planet%29,italy,Italy
Cerium,,None
CF7,united states,United States
Chad,chad,Chad.
Chadian-Sudanese_conflict,chad,Chad.
Chaffinch,belgium,Belgium
Channel_Islands,guernsey,Guernsey
Charlemagne,france,France.
Charles_Babbage,,England
Charles_Darwin,,England
Charles_Dickens,,England
Charles_Etienne_Brasseur_de_Bourbourg,france,France
Charles_II_of_England,,England
Charles_I_of_England,,England
Charles_Sumner,united states,United States
Charles_V%2C_Holy_Roman_Emperor,spain,Spain
Charlie_Chaplin,,England
Charlotte%27s_Web,united states,United States
Chartism,united kingdom,United Kingdom
Cheers,united states,United States
Cheese,france,France
Cheetah,tanzania,Tanzania
Chelsea_F.C.,,England
Chemical_element,,None
Chemical_synapse,,None
Chemistry,,None
Chennai,india,India
Chepstow_Bridge,,Wales
Chernobyl_disaster,ukraine,Ukraine
Chess,,None
Chester_A._Arthur,,USA.
Chestnut,italy,Italy
Chew_Magna,,England
Chew_Stoke,,England
Chew_Valley,,England
Chew_Valley_Lake,,England.
Che_Guevara,argentina,Argentina
Chicago,united states,United States.
Chicago_and_North_Western_Railway,united states,United States.
Chicago_Bears,united states,United States.
Chicken,india,India
Child,,None
Children%27s_Crusade,france,France
Children%27s_rights_movement,,USA.
Chile,chile,Chile.
Chiltern_Hills,,England
Chimpanzee,cameroon,Cameroon
China,china,China
Chinese_language,china,China
Chinese_Rites_controversy,china,China
Chinyingi,zambia,Zambia
Chives,,Europe
Chlorine,,None
Chocolate,mexico,Mexico
Chola_dynasty,india,India
Cholera,india,India
Chordate,,None
